freq,PSD_dBm
250666.66666666666,-98.04554
253333.3333333333,-93.40695
256000.0,-91.3953
258666.66666666666,-77.51839
261333.3333333333,-45.78505
264000.0,-97.42573
266666.6666666666,-91.95212
269333.3333333333,-97.44042
272000.0,-65.61428
274666.6666666666,-88.26079
277333.3333333333,-96.99616
280000.0,-95.84385
282666.6666666666,-96.5421
285333.3333333333,-71.79116
288000.0,-95.25798
290666.6666666666,-93.15352
293333.3333333333,-89.9553
296000.0,-94.03735
298666.6666666666,-94.71595
301333.3333333333,-72.55724
304000.0,-92.49318
306666.6666666666,-82.64928
309333.3333333333,-90.4711
312000.0,-86.31039
314666.6666666666,-98.95646
317333.3333333333,-96.99345
320000.0,-96.53866
322666.6666666666,-94.42412
325333.3333333333,-97.05062
328000.0,-97.60196
330666.6666666666,-57.03542
333333.3333333333,-97.61672
336000.0,-87.75362
338666.6666666666,-64.29665
341333.3333333333,-98.43745
344000.0,-97.65156
346666.6666666666,-84.89296
349333.3333333333,-96.58249
352000.0,-86.51446
354666.6666666666,-88.21865
357333.3333333333,-79.84482
360000.0,-97.71128
362666.6666666666,-93.07755
365333.3333333333,-88.12159
368000.0,-99.21048
370666.6666666666,-52.40388
373333.3333333333,-88.68319
376000.0,-98.67833
378666.6666666666,-64.97229
381333.3333333333,-97.77016
384000.0,-99.08368
386666.6666666666,-99.12275
389333.3333333333,-98.59056
392000.0,-68.33667
394666.6666666666,-62.30642
397333.3333333333,-93.76137
400000.0,-92.27095
402666.6666666666,-97.36826
405333.3333333333,-97.42097
408000.0,-99.09514
410666.6666666666,-86.41361
413333.3333333333,-91.92045
416000.0,-62.44706
418666.6666666666,-87.63747
421333.3333333333,-96.84502
424000.0,-94.21793
426666.6666666666,-98.98286
429333.3333333333,-99.57277
432000.0,-82.02504
434666.6666666666,-49.84822
437333.3333333333,-67.42263
440000.0,-64.19998
442666.6666666666,-88.43949
445333.3333333333,-99.34854
448000.0,-98.41725
450666.6666666666,-92.91953
453333.3333333333,-99.54181
456000.0,-86.20276
458666.6666666666,-88.29374
461333.3333333333,-59.95971
464000.0,-61.3269
466666.6666666666,-94.39821
469333.3333333333,-93.20194
472000.0,-92.98711
474666.6666666666,-90.49201
477333.3333333333,-100.702
480000.0,-70.9022
482666.6666666666,-83.93445
485333.3333333333,-99.01259
488000.0,-78.89052
490666.6666666666,-65.91691
493333.3333333333,-62.12787
496000.0,-65.60929
498666.6666666666,-100.0076
501333.3333333333,-99.02112
504000.0,-82.73133
506666.6666666666,-58.42422
509333.3333333333,-97.28597
512000.0,-92.25113
514666.6666666666,-98.03148
517333.3333333333,-96.98588
519999.99999999994,-97.08288
522666.6666666666,-95.36852
525333.3333333333,-98.59032
528000.0,-88.75601
530666.6666666666,-71.41221
533333.3333333333,-89.11235
536000.0,-65.65042
538666.6666666666,-97.3935
541333.3333333333,-92.89639
544000.0,-84.25376
546666.6666666666,-74.02913
549333.3333333333,-87.07596
552000.0,-88.41865
554666.6666666666,-64.20964
557333.3333333333,-96.22132
560000.0,-80.88434
562666.6666666666,-92.84724
565333.3333333333,-97.50575
568000.0,-95.2696
570666.6666666666,-58.80486
573333.3333333333,-98.1556
576000.0,-74.44986
578666.6666666666,-93.42462
581333.3333333333,-72.77535
584000.0,-80.8127
586666.6666666666,-96.29132
589333.3333333333,-99.42636
592000.0,-98.24008
594666.6666666666,-75.74505
597333.3333333333,-98.05959
600000.0,-61.49228
602666.6666666666,-84.93956
605333.3333333333,-94.98364
608000.0,-85.97493
610666.6666666666,-70.35482
613333.3333333333,-91.56589
616000.0,-92.28857
618666.6666666666,-93.96833
621333.3333333333,-73.16766
624000.0,-91.58571
626666.6666666666,-70.85331
629333.3333333333,-80.0281
632000.0,-99.70583
634666.6666666666,-55.14033
637333.3333333333,-71.79067
640000.0,-76.39027
642666.6666666666,-90.64313
645333.3333333333,-70.77494
648000.0,-95.5991
650666.6666666666,-94.24165
653333.3333333333,-67.53752
656000.0,-99.30506
658666.6666666666,-90.48177
661333.3333333333,-95.42734
664000.0,-72.50688
