freq, psd, lorentzian
2.333333333332169859e+05,7.701486746880880502e-03,7.525086735246678052e-03
2.388888888887697831e+05,1.355778821503272891e-02,7.603412182127655336e-03
2.444444444443225511e+05,1.939253394707299641e-02,7.682785033848404249e-03
2.499999999998753483e+05,9.600438673687969326e-03,7.763224039187980111e-03
2.555555555554281163e+05,8.477121488143869732e-03,7.844748368092548108e-03
2.611111111109809135e+05,9.386595922647827245e-03,7.927377623073571244e-03
2.666666666665336816e+05,1.722292190028957767e-02,8.011131850967283946e-03
2.722222222220865078e+05,1.904932741391195117e-02,8.096031555068616131e-03
2.777777777776392759e+05,9.301338807270975034e-03,8.182097707653305033e-03
2.833333333331920439e+05,5.236790478041448288e-03,8.269351762902332759e-03
2.888888888887448120e+05,8.827749054322188427e-03,8.357815670243620362e-03
2.944444444442976383e+05,6.916880083604138620e-03,8.447511888126377558e-03
2.999999999998504063e+05,1.180479483748558822e-02,8.538463398244256625e-03
3.055555555554031744e+05,1.515772275294985719e-02,8.630693720224024562e-03
3.111111111109560006e+05,1.598953709435166348e-02,8.724226926797321036e-03
3.166666666665087687e+05,1.937952715034331821e-02,8.819087659473652530e-03
3.222222222220615367e+05,1.143355675044132463e-02,8.915301144733687316e-03
3.277777777776143630e+05,1.158041124130884496e-02,9.012893210762632293e-03
3.333333333331671311e+05,1.606642487839793354e-02,9.111890304744406019e-03
3.388888888887198991e+05,1.295352335959500806e-02,9.212319510738099446e-03
3.444444444442726672e+05,1.008584089123533249e-02,9.314208568159359006e-03
3.499999999998254934e+05,1.179208671412327117e-02,9.417585890890020628e-03
3.555555555553782615e+05,8.577230463098302685e-03,9.522480587040650299e-03
3.611111111109310295e+05,7.854047079030075304e-03,9.628922479391449976e-03
3.666666666664838558e+05,7.329450228160836953e-03,9.736942126538460432e-03
3.722222222220366239e+05,1.767554787958804108e-02,9.846570844772728134e-03
3.777777777775893919e+05,2.994797207923333149e-02,9.957840730721841463e-03
3.833333333331421600e+05,1.747221111700327303e-02,1.007078468478416790e-02
3.888888888886949862e+05,1.508170308812641774e-02,1.018543643538770242e-02
3.944444444442477543e+05,7.177258288622141540e-03,1.030183056410683556e-02
3.999999999998005223e+05,5.499310978913649235e-03,1.042000253167188820e-02
4.055555555553533486e+05,6.529645735018352326e-03,1.053998870490777465e-02
4.111111111109061167e+05,6.503861199397248383e-03,1.066182638463993894e-02
4.166666666664588847e+05,5.191542728309682907e-03,1.078555383460745934e-02
4.222222222220117110e+05,9.155950775256018609e-03,1.091121031142497713e-02
4.277777777775644790e+05,1.250894847710368879e-02,1.103883609563717678e-02
4.333333333331172471e+05,1.090782231113525576e-02,1.116847252391154482e-02
4.388888888886700151e+05,1.236800930396356191e-02,1.130016202241731181e-02
4.444444444442228414e+05,1.534764991913629799e-02,1.143394814144068836e-02
4.499999999997756095e+05,8.338425852983893591e-03,1.156987559128909611e-02
4.555555555553283775e+05,1.033653711303003132e-02,1.170799027953936360e-02
4.611111111108812038e+05,1.608570514737760193e-02,1.184833934968770180e-02
4.666666666664339718e+05,1.472525344284405721e-02,1.199097122126207594e-02
4.722222222219867399e+05,1.085996029085514562e-02,1.213593563146042088e-02
4.777777777775395662e+05,1.186726261125821413e-02,1.228328367838134837e-02
4.833333333330923342e+05,1.410683786374368996e-02,1.243306786591736289e-02
4.888888888886451023e+05,1.885888983933407814e-02,1.258534215038390434e-02
4.944444444441978703e+05,1.615061147645407286e-02,1.274016198896133281e-02
4.999999999997506966e+05,1.104790972787956030e-02,1.289758439003072660e-02
5.055555555553034646e+05,1.643322351796034503e-02,1.305766796548866321e-02
5.111111111108562327e+05,2.159417956633940747e-02,1.322047298513012205e-02
5.166666666664090590e+05,1.389425868301060428e-02,1.338606143319353431e-02
5.222222222219618270e+05,1.842093459984929169e-02,1.355449706716668583e-02
5.277777777775146533e+05,2.430327420530791621e-02,1.372584547895719376e-02
5.333333333330673631e+05,1.554134276864634588e-02,1.390017415853686891e-02
5.388888888886201894e+05,1.525398051808467444e-02,1.407755256017476260e-02
5.444444444441730157e+05,2.284615791942278679e-02,1.425805217137982722e-02
5.499999999997257255e+05,1.944273845552910163e-02,1.444174658468063387e-02
5.555555555552785518e+05,9.606820819406143921e-03,1.462871157237603977e-02
5.611111111108312616e+05,1.277728466887383466e-02,1.481902516439815957e-02
5.666666666663840879e+05,1.086982977903207595e-02,1.501276772943645373e-02
5.722222222219369141e+05,9.354777113116073683e-03,1.521002205947982570e-02
5.777777777774896240e+05,8.121589544305373581e-03,1.541087345794204568e-02
5.833333333330424502e+05,1.172891757739308316e-02,1.561540983154512639e-02
5.888888888885952765e+05,1.519005887435241793e-02,1.582372178614454422e-02
5.944444444441479864e+05,1.789850471543852004e-02,1.603590272669073655e-02
5.999999999997008126e+05,3.333247367051131449e-02,1.625204896153180367e-02
6.055555555552536389e+05,1.602390452676369370e-02,1.647225981127405092e-02
6.111111111108063487e+05,9.476614735316439206e-03,1.669663772242929375e-02
6.166666666663591750e+05,8.150063909432996717e-03,1.692528838609056938e-02
6.222222222219120013e+05,1.403122433459979765e-02,1.715832086189182648e-02
6.277777777774647111e+05,1.825561003330591903e-02,1.739584770752213363e-02
6.333333333330175374e+05,1.441948226307391938e-02,1.763798511408005629e-02
6.388888888885703636e+05,1.241640659674897972e-02,1.788485304757094635e-02
