timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.2,-68089.14727227236,356889.9630919594,59398.215658715424,181408.34901628955,-100586.76890372926,71750.250193762
0.208,-48254.87097623317,360240.9927184842,72818.72891776402,176684.40236624682,-98779.57460884114,74920.35114087773
0.216,-28279.078710492955,362102.86404856615,85694.70266691622,170971.3985461021,-96848.17897052162,77348.15552722094
0.224,-8215.549297001937,363073.26254369545,98056.15136832223,164021.17389797527,-94710.43278910317,80137.81594403504
0.232,11787.985148214615,362719.8152788945,110343.17753945963,156269.23823073067,-92575.22019544861,82680.604114058
0.24,31835.85045526093,361618.3725752479,121599.8524486756,147443.06033353455,-90640.53680849967,84895.60255898585
0.248,51789.12889478637,359061.3596048849,132490.49624526495,137587.2250069157,-88624.35330080969,87207.23191619825
0.256,71544.16094277657,355819.6309752076,142584.5099376331,127347.14832479207,-86501.9503323601,89229.78130914428
0.264,91007.60453674999,351260.1441317207,151572.72548362153,116202.97878449065,-84577.39073203804,91437.38808836034
0.272,110298.64216929248,345887.1179292988,159817.13722004855,104393.60903448462,-82163.75711128622,93547.85875266265
0.28,128981.4252152685,338980.6776126475,167528.16187376846,91836.96378843907,-79750.5488782718,95678.8070033371
0.288,147653.10200717417,331353.8971105508,173936.0718401094,78908.7152153559,-77470.37144395587,97673.84378753854
0.296,165651.54310794393,322412.29882677336,179382.96762544225,65649.43702253042,-75005.67752320984,99566.50245027457
0.304,183276.79621193896,313236.64203104,183784.65535413098,52172.80390572741,-72441.29318630813,101569.10342528539
0.312,200324.1412326776,302703.15130394016,187040.146490537,38214.506430625486,-69651.58086109087,103442.33184383981
0.32,216923.02968238495,290591.3178106663,189521.29157231006,24232.692565076188,-66690.25053551552,105438.15965039475
0.328,232769.30362345692,278265.64505155326,190891.74852323168,9800.572774152886,-64147.564084794576,107126.1083614073
0.336,247718.2618111343,264872.21787304914,191102.88337339903,-4494.514554088276,-61551.50483128539,108770.48474028018
0.344,262101.6156370123,250524.38857431727,190183.5215549539,-18825.83595214594,-58705.57010053618,110222.33348047988
0.352,275702.2589545349,235357.29421814144,188174.21968416998,-32929.25517162208,-55969.31945181149,111736.12875495994
0.36,288134.78279348253,219929.58085063245,185163.1737610482,-46499.07620843447,-52821.47582586929,113076.44467936375
0.368,299920.0725834396,203930.4291442244,181180.0537569664,-60332.43457295449,-50122.09044634846,114414.77036847227
0.376,310839.1664238599,186894.3955690014,176068.71171965773,-74200.81576943964,-47539.20828898357,115599.71511650276
0.384,320354.4379629577,169794.26740479044,170044.51192826862,-87162.64613181118,-44564.808700764945,116849.4337048583
0.392,329406.53463280475,152155.6606124204,162859.95740388086,-99486.31676841623,-41486.87126377188,117914.7060773157
0.4,337072.1898617465,133450.1390220329,154953.25255821215,-111384.47779206319,-38184.77352679432,118930.00446034614
0.408,343892.72581902554,114580.54544571189,146078.43633014846,-122968.91564830115,-34982.72791355051,119816.14748989233
0.416,349414.81395857263,95247.90257466958,136302.39915935215,-133326.12281150086,-31736.8833584868,120736.73883742312
0.424,354171.1022701387,75661.72645516528,125964.62285957686,-143542.54516032126,-29112.757453282476,121530.4359311826
0.432,357789.38847505744,56437.63677120348,114849.75568450955,-152807.37924428872,-26045.674089417367,122282.78027021213
0.44,360422.33260709577,36384.7298022935,102810.99486812667,-160736.4685478773,-23278.279327157576,122937.16759209165
0.448,362045.2375545481,16347.157091240226,90499.32316828838,-168195.6002740927,-20338.03898843842,123533.14370114368
0.456,362498.2710325497,-3436.268869446147,77558.67665574877,-174308.72263758775,-17494.246264156198,123995.58513663958
0.464,361837.72871158656,-23196.20532630734,64173.728805456296,-179932.65602638968,-14517.838861049906,124377.16776393805
0.472,360087.2653045001,-42770.01391504959,50444.32074806978,-184152.59554723706,-11431.076981063252,124771.25446866629
0.48,356946.1078070664,-63041.97498474147,36387.56987876127,-187151.15510301385,-8140.458522956495,125074.05607752
0.488,352869.13577737706,-82023.73092746183,22097.112939430484,-189364.1886451683,-5274.560901073762,125101.61539646579
0.496,347565.73298970616,-101042.01683286068,7714.577635428041,-190338.85289407714,-2005.0679083603848,125104.54743438154
0.504,342132.6155748075,-124198.58995904752,-7685.812095489399,-187748.74252745873,3077.6348702185323,125774.55027531923
0.512,334713.24554022873,-142875.91259789755,-21800.223610143887,-186660.8177929044,6151.54422265338,125573.46271784558
0.52,326100.21298879373,-161249.26007853023,-35842.231714572255,-184781.6217384895,9104.675276782793,125387.77889721072
0.528,316548.6691721613,-178923.38829917155,-49623.58974139799,-181388.91677850662,12481.122572790257,125085.16493819766
0.536,306273.20667027094,-196156.2355309362,-63129.55209271511,-177093.29749960685,15936.611579205191,124746.42743714982
0.544,294695.6798535193,-213162.89916751528,-76226.33951657204,-171666.66472653905,19062.12283758249,124367.67230962338
0.552,282253.85900187347,-228918.3139140546,-88959.9189208188,-165249.12350649358,21962.56143389387,123907.29428619948
0.56,269301.5271020505,-244485.8356924542,-101087.78097786348,-157963.5172900954,25398.169369869884,123326.9461847122
0.568,255648.62424517126,-259052.68616928768,-112794.96961102408,-149994.15834875003,28321.956997481375,122526.56889280424
0.576,240804.98712761127,-272748.26708353625,-123787.89831023762,-141139.91039959184,31566.816316424512,121846.24616756318
0.584,225209.0810960666,-285814.18499041913,-134076.14283389537,-131401.3461010943,34870.374825573555,121076.45594869828
0.592,208885.80253567456,-297722.55898431106,-143569.16143248454,-120781.674128511,38254.747182843836,120180.75593064494
0.6,191882.9575941166,-309063.69432499586,-152221.51572874095,-109743.6254563333,41339.701646259906,119202.9593808458
0.608,174750.92720702017,-318943.25874659297,-160042.7396164516,-97792.03073418235,44185.9493611957,118207.10725416806
0.616,156902.36570036324,-328205.5091240292,-166978.58931372495,-85549.26435499566,46882.23544695194,116940.67841282659
0.624,138551.19072657757,-336231.5651506978,-172884.05845341407,-72673.34758147944,49718.68277158222,115772.34123811594
0.632,119686.20615909938,-343331.84021644027,-177806.49424793606,-59327.908907548896,52525.500277088235,114409.27597772949
