freq, psd, lorentzian
1.083333333332793089e+06,3.209408506500968650e-02,3.053751632342674091e-02
1.088888888888346031e+06,5.157363881871489253e-02,3.610529756727224454e-02
1.094444444443898741e+06,5.412935716501158373e-02,4.296673331618074826e-02
1.099999999999451451e+06,3.857512256833253023e-02,5.133761229021996386e-02
1.105555555555004394e+06,3.228387562305359837e-02,6.130092828784992898e-02
1.111111111110557104e+06,9.464916987581391272e-02,7.258556840650226549e-02
1.116666666666109813e+06,6.551893119126939169e-02,8.423765485837110545e-02
1.122222222221662523e+06,9.398756467035038198e-02,9.437120505339557930e-02
1.127777777777215466e+06,1.099264270850940223e-01,1.004722094746725858e-01
1.133333333332768176e+06,1.026011367753993236e-01,1.005936436013771113e-01
1.138888888888320886e+06,1.061790230721858797e-01,9.469328750609108669e-02
1.144444444443873828e+06,7.943857006101488760e-02,8.466600425716250267e-02
1.149999999999426538e+06,6.237928388004540525e-02,7.303118161232483030e-02
1.155555555554979248e+06,6.916821373392095795e-02,6.170963843950840605e-02
1.161111111110532191e+06,4.242611961042239144e-02,5.168786716236388468e-02
1.166666666666084900e+06,4.271463050229856728e-02,4.325651553107612984e-02
1.172222222221637610e+06,3.715893045364259545e-02,3.634120753154952005e-02
1.177777777777190553e+06,2.520610655348791418e-02,3.072859547759015583e-02
1.183333333332743263e+06,2.481984628100162085e-02,2.618168634133819297e-02
1.188888888888295973e+06,1.587794669876698567e-02,2.248681378819683205e-02
1.194444444443848915e+06,1.683604615467131776e-02,1.946699862325487057e-02
1.199999999999401625e+06,2.144415245002873754e-02,1.698129561175940397e-02
1.205555555554954335e+06,1.210476640682074147e-02,1.491945011102126760e-02
1.211111111110507278e+06,7.217523527683507995e-03,1.319578870449844218e-02
1.216666666666059988e+06,7.552285370824628544e-03,1.174376534520592437e-02
1.222222222221612697e+06,9.216936352121344461e-03,1.051152599983727100e-02
1.227777777777165640e+06,7.810636240752791976e-03,9.458452989527325536e-03
1.233333333332718350e+06,6.834570705360627427e-03,8.552527168379005923e-03
1.238888888888271060e+06,7.289148250663586744e-03,7.768332186024134653e-03
1.244444444443824003e+06,1.109062118742555614e-02,7.085548130634102167e-03
1.249999999999376712e+06,4.738946977219409516e-03,6.487812914948971540e-03
1.255555555554929422e+06,3.497216672713444885e-03,5.961858417287842736e-03
1.261111111110482365e+06,6.614240528719533829e-03,5.496851729593989037e-03
1.266666666666035075e+06,6.338568430403330317e-03,5.083889844604578406e-03
1.272222222221587785e+06,8.133950092922013000e-03,4.715609582665318718e-03
1.277777777777140727e+06,7.143150767717333302e-03,4.385884506852225605e-03
