timestep,xmain,pmain,xhigh,phigh,xlow,plow
11.728,288386.2339366644,-352550.3348185623,-83603.5848449223,88608.21803507495,-130494.98821379198,779125.6913633705
11.736,268387.40262728755,-370681.4800360086,-76791.18731456027,91920.66838047517,-110889.98657822238,779407.8917790798
11.744,247419.26753560564,-387581.39249794366,-69754.46937716342,94748.69895290841,-91287.65220592491,779298.481160574
11.752,225553.24805202198,-403191.34765033633,-62513.477339420286,97173.30863800697,-71698.13122805215,778806.997459374
11.76,202860.80560332077,-417456.61123669107,-55100.37426259164,99174.89535174379,-52167.64435462877,777931.6584233381
11.768,179418.5544283649,-430325.54108164355,-47563.46743084314,100763.74333844447,-32625.075147381005,776695.0820024097
11.776,155303.73744347753,-441753.5633120588,-39918.91334925422,101871.46906301449,-13133.12658124768,775097.6328876379
11.784,130598.1432031269,-451702.598034855,-32206.041833396175,102524.93450501973,6335.284199712322,773128.2659764594
11.792,105383.3868537993,-460137.18559694645,-24453.228196881428,102764.90014892326,25729.464212098923,770815.2153834811
11.8,79743.51145048256,-467027.0110224567,-16705.73768695982,102505.87212741442,45051.39098864235,768146.9245558117
11.808,53767.36916131222,-472347.76336477004,-9000.868678369861,101824.0440681026,64304.0545307765,765136.3676550196
11.816,27539.952457616037,-476083.57292726444,-1358.5947448491897,100725.73933714512,83477.04581083609,761789.649399043
11.824,1151.2296562433828,-478219.03453780955,6183.030279770899,99236.25435684585,102589.93964082649,758101.9119305157
11.832,-25313.36906541506,-478748.2659553209,13595.00276333977,97301.31100571598,121578.75998149779,754082.9247183747
11.84,-51763.15101374221,-477670.0428217711,20846.938680700085,95004.55156495335,140493.55421672462,749725.2104353162
11.848,-78106.42941497483,-474988.748410977,27908.56797407016,92231.65769296516,159298.84404198136,745042.3504867654
11.856,-104258.63955623996,-470713.4095130185,34745.80811760993,89096.6860711086,177953.7026231187,740021.1845385073
11.864,-130131.07579806093,-464859.5396904006,41332.757185365364,85619.22623467508,196504.0135743683,734677.2929523512
11.872,-155636.27017067073,-457447.5777832637,47646.94311563339,81768.18835872259,214876.38175348612,729001.8218341268
11.88,-180689.64118364028,-448505.2821297192,53657.16552179554,77606.24152096799,233100.96421496774,723018.9490500115
11.888,-205205.3170980292,-438063.4991953681,59352.56079848153,73149.6776415063,251203.7255515055,716697.6042432921
11.896,-229105.03172076878,-426158.0638714539,64688.901287333334,68369.66570826882,269106.4676597369,710047.1527300543
11.904,-252306.35778177733,-412831.53775500756,69652.12266896213,63309.327638980336,286866.25111048226,703062.2286864432
11.912,-274732.34062225785,-398130.97985500377,74221.19310769315,58076.897612261186,304453.8431023076,695734.5088362661
11.92,-296308.28834826266,-382108.3241175857,78381.68185449795,52537.51859885849,321839.18728516635,688086.6969330811
11.928,-316963.1162239992,-364819.443305205,82133.65624128001,46725.59108035352,339033.9148277084,680101.3280316071
11.936,-336630.55901378073,-346326.48461641493,85434.47106733898,40894.16499563186,356007.2416136015,671778.0569712608
11.944,-355240.0929165597,-326692.4259552995,88283.5018837533,34844.7860542816,372763.6445736997,663111.7115145437
11.952,-372733.71522697975,-305985.59497980314,90667.15052835342,28670.47230648057,389293.1286349062,654109.1887106084
11.96,-389056.0061743544,-284278.83821136114,92584.72835947516,22433.150082021974,405622.9528684062,644741.0683734481
11.968,-404152.91512564564,-261646.97774771744,94024.56148348284,16050.510344832286,421698.5785803841,635029.3067899959
11.976,-417975.8510726722,-238170.9149056124,94987.317611544,9616.203116016251,437509.56713598204,624963.6303060275
11.984,-430477.3647610492,-213932.03630554758,95466.05346938004,3185.03959729969,453082.1316309475,614545.1566656725
11.992,-441621.41978615726,-189012.79960742916,95459.65547825478,-3194.416947165465,468371.80286487826,603756.9547025985
12.0,-451370.4969867307,-163501.14712535837,94971.65351179177,-9572.80496482648,483412.87839787814,592612.8417064714
12.008,-459692.285391398,-137484.88376218808,94002.32793030608,-15816.374947745848,498170.35118168656,581093.6634521025
12.016,-466565.4054225599,-111054.50419810013,92573.77388321888,-22070.824762511795,512630.54907119117,569202.5756319064
12.024,-471966.60449474864,-84301.60924601753,90673.89612711547,-28217.712523805185,526753.6595742522,556943.6799554848
12.032,-475883.7900752972,-57316.302121953675,88321.81051073929,-34153.43755153902,540598.2972153925,544292.3465809711
12.04,-478302.6612756857,-30193.86258503633,85526.24352019388,-39934.007285691616,554120.8097808397,531274.3536627382
