timestep,xmain,xhigh,xlow
2.224,370338.06066452444,-321439.24190718145,1.3380476784055005e6
2.232,389686.70243297785,-346521.6894810047,1.3013325356496556e6
2.24,407921.4993415782,-369512.51246452203,1.263850735067674e6
2.248,425000.7987807458,-390278.0847641877,1.22562285184075e6
2.256,440863.29911521246,-408702.3630377714,1.1866806381130556e6
2.264,455480.61143020773,-424681.1592478343,1.1470287612011745e6
2.272,468804.40090252104,-438121.20017659606,1.1066857957780717e6
2.28,480782.84784548555,-448947.42181886896,1.065695592060356e6
2.288,491382.09629422944,-457096.9824219961,1.0240502951911257e6
2.296,500572.30731896946,-462524.9568861689,981826.9277317905
2.304,508320.4298418084,-465201.2009570203,939012.8292364357
2.312,514596.48573633266,-465104.65568980883,895624.7633705498
2.32,519407.57809153275,-462249.7465732825,851762.0500723205
2.328,522713.7005670102,-456642.8456045459,807376.852596274
2.336,524507.3377260105,-448322.296111669,762526.1172134238
2.344,524791.9897531125,-437333.26289052924,717224.0696317018
2.352,523550.362120027,-423739.4611504067,671512.4378304125
2.36,520797.85211286106,-407617.395609337,625424.0445770414
2.368,516551.6795288722,-389061.7736324061,578994.5322700149
2.376,510817.3295779236,-368165.45370730304,532216.1247787533
2.384,503606.4595378631,-345055.4031229967,485128.0987906933
2.392,494960.28654402966,-319858.00616831664,437801.5906330162
2.4,484906.9456271707,-292709.6398183542,390250.47713960696
2.408,473459.66093286994,-263763.84611709934,342505.66532567044
2.416,460657.4867857386,-233179.25180517556,294588.8747989792
2.424,446570.30362264905,-201127.11291969364,246524.64259273832
2.432,431226.20816321665,-167776.85777006543,198357.23493608672
2.44,414686.67855819454,-133312.90053352693,150097.13386451214
2.448,396998.2479581821,-97928.13195444248,101810.14402051058
2.456,378219.14107621304,-61810.80713523632,53558.69531894267
2.464,358446.22728631756,-25152.011805087437,5296.418073012643
2.472,337712.6235380046,11846.065795055134,-42894.723060900644
2.48,316101.4302558146,48992.465378836176,-90963.42286733126
2.488,293697.12761352846,86085.36177223538,-138907.82804574145
2.496,270579.72421482374,122931.8131373029,-186663.07630453864
2.504,246820.62815059707,159336.7164122613,-234229.72735346237
2.512,222506.09026540368,195110.20768241072,-281563.0865397851
2.52,197727.56439615207,230065.07346608987,-328626.64631274
2.528,172569.4621611357,264020.86666668276,-375371.95021218894
2.536,147132.10295695363,296803.3563645798,-421788.50388044585
2.544,121493.6833284757,328245.0843084679,-467801.8995151095
2.552,95758.97688887006,358186.5847805886,-513376.3982725082
2.56,70022.0608066267,386480.1933605287,-558529.3863221406
2.568,44362.57185227135,412985.7372016738,-603166.1210379073
2.576,18874.03219603559,437570.0639746219,-647304.9526192391
2.584,-6326.287520304612,460114.9041979146,-690864.4468580283
2.592,-31170.227188556957,480512.4319264115,-733835.8356405451
2.6,-55558.57241912305,498672.77318631834,-776152.6390980846
2.608,-79400.40981045365,514512.69070596516,-817815.3290870525
2.616,-102605.08948614479,527957.1547883275,-858766.6283642775
2.624,-125089.4446914458,538952.7650440839,-899012.5275204127
2.632,-146775.55483377745,547455.5777592645,-938463.0857235343
2.64,-167579.52595527368,553438.1390941028,-977178.9654435933
2.648,-187426.92350771037,556882.6230478424,-1.015041066258433e6
2.656,-206238.67450446007,557785.3047109453,-1.052098648875257e6
2.664,-223968.02035719497,556153.1184112004,-1.0882208208401466e6
2.672,-240519.41623449634,552009.1053646291,-1.123459300432108e6
2.68,-255853.93317433994,545398.725768814,-1.1577548411803653e6
2.688,-269901.1162877556,536371.3605848124,-1.1910939635063126e6
2.696,-282615.27610921476,524985.823044515,-1.2234503101404188e6
2.704,-293940.4774920091,511319.5978664708,-1.2548101044284122e6
2.712,-303865.36587824393,495457.27061146806,-1.2851570140442105e6
2.72,-312326.0965615376,477502.47504517075,-1.3144500521674305e6
2.728,-319300.1288599645,457564.7305456858,-1.3426700599151882e6
2.736,-324760.6742023758,435759.7172168968,-1.369782510322976e6
2.744,-328699.80071271845,412209.0490646042,-1.3958023548834005e6
2.752,-331098.49077491945,387048.3559607608,-1.4206985872852276e6
2.76,-331947.56722374924,360419.37974288827,-1.444414520144054e6
2.768,-331247.13180328533,332469.8980546152,-1.4669931830445395e6
2.776,-329002.77998313174,303359.0470037647,-1.4884061647237027e6
2.784,-325212.3763175974,273246.9317790831,-1.508629840893241e6
2.792,-319927.119259649,242297.38571929507,-1.527679269291473e6
2.8,-313149.04140041483,210677.73111693244,-1.5455196484025638e6
2.808,-304910.1439109238,178554.24551072204,-1.562156606881429e6
2.816,-295232.3563664151,146093.9704363673,-1.5775879529154887e6
2.824,-284169.25503311405,113470.09204776616,-1.591781378748056e6
2.832,-271750.5496692142,80852.72142521282,-1.6047634111076042e6
2.84,-258052.28961827743,48410.43589000425,-1.6164969079227797e6
2.848,-243113.86194881282,16309.66737020361,-1.626996036089719e6
2.856,-226992.55320359115,-15286.296486498468,-1.6363305968465437e6
2.864,-209757.5245937605,-46216.58025255893,-1.644407796505266e6
2.872,-191466.95974361064,-76325.30377830724,-1.6512377538517634e6
2.88,-172200.95949512758,-105466.573542041,-1.6568876841198378e6
2.888,-152043.99023089526,-133498.23640685942,-1.6612860866408036e6
2.896,-131058.83396799251,-160287.42375727944,-1.6644803862132584e6
2.904,-109329.59239905606,-185704.84661557124,-1.6665173625501145e6
2.912,-86948.88480828611,-209631.5000360677,-1.6673219934074506e6
