timestep,xmain,pmain,xhigh,phigh,xlow,plow
27.816,3469.6317263388096,8246.623435735553,-990.2058864835458,-27.518180602893235,18709.262469900288,7688.513920524004
27.824,3919.1503211954473,8007.293797110506,-966.8710280319322,-62.342437867047565,18781.709021627797,7199.909726151037
27.832,4354.518045108334,7744.058854863171,-974.6986012901776,-18.847326227018872,18950.61838397607,6684.7709702173015
27.84,4777.700921357641,7454.356332406176,-902.9398636248092,-257.57687703413495,19047.590541964248,6137.713610819721
27.848,5181.359989687948,7143.900996665375,-928.390924518,-211.01366984001322,19197.47920877101,5623.493420644459
27.856,5567.67632151405,6811.810561625742,-936.1999065784046,-204.76162348324291,19334.688127402354,5101.364646250026
27.864,5934.507295503874,6458.934814650673,-961.0993477953944,-182.6730015250468,19464.322535440744,4575.259350287891
27.872,6281.844076810474,6086.219527227993,-965.0058013672076,-130.9352253745124,19569.96261594369,4048.8615156821447
27.88,6608.005718820891,5694.919809021585,-973.9807101930555,-43.15637075291012,19642.673429471804,3506.66157191125
27.888,6911.687009521872,5288.348970630298,-947.3999620474643,394.3006596681448,19435.4218060278,3047.96935132843
27.896,7192.303148687341,4865.298344998046,-921.1559096009495,458.3041149737759,19485.109161125732,2532.3245894297183
27.904,7449.766155223399,4427.517628833751,-882.6270143535662,450.2789428098714,19562.911495150653,2019.4888161537601
27.912,7682.147046479496,3976.7909917256234,-856.3852046949182,495.9308929500402,19625.751448358944,1498.5264566975075
27.92,7888.690624677719,3514.576698167421,-808.2221512563696,539.8168572534898,19667.644913407174,964.7561974475628
27.928,8070.440987088246,3042.5382803227585,-763.3675105918234,581.2445370645413,19683.51282103785,441.90309034967834
27.936,8225.319126199955,2562.060448865282,-726.8591859304214,618.0133872619579,19710.414361255727,-91.80382998421317
27.944,8354.186651375818,2075.029763285493,-684.4748772142652,674.4548999413006,19702.513017014295,-620.3243550381611
27.952,8455.225568293057,1582.1486134976092,-636.2005842669258,688.516604582501,19676.589336887893,-1134.1843150694729
27.96,8529.103319612652,1085.9179154844505,-573.6827777548557,728.2985670004128,19652.36625109354,-1652.2911621041217
27.968,8575.757964624894,588.3205751830832,-515.4018002183678,795.0502430473092,19587.14931847413,-2171.193797579457
27.976,8595.088292889466,89.25967726935993,-452.4679259605846,798.7780991428402,19555.25548253589,-2686.82167281232
27.984,8586.458930176941,-407.92083491690676,-388.5990368055736,843.7419040299408,19492.278545420293,-3206.167013190476
27.992,8550.092880785664,-903.2576986924956,-322.40401979577,823.0735300035024,19381.873754664637,-3718.1106107077417
28.0,8485.786689375562,-1394.0585211408227,-243.42028560983633,867.831717413697,19286.59937266604,-4225.729924160304
28.008,8395.493868630914,-1879.1856306938982,-167.21929974476353,856.1136476067538,19151.481849710584,-4725.95639441691
28.016,8278.17017700325,-2356.404939420273,-104.83453222035236,798.8443221941086,19026.333224541126,-5222.687889085436
28.024,8134.189977897373,-2824.605305544515,-38.96496360121163,795.7753159883541,18891.47973658961,-5713.5314211232
28.032,7965.580878568018,-3282.351195503687,29.399418741263638,837.7123957687461,18753.76035915051,-6183.77027218924
28.04,7771.887539011206,-3728.8453050692865,92.0674697031378,857.7482480443717,18601.23940482386,-6674.216892037381
28.048,7554.109313698072,-4161.9237514124325,153.52431601371228,796.7495026481781,18438.38144426143,-7150.439458358855
28.056,7312.054189584825,-4580.537892587939,207.22967177902652,748.0923592326648,18235.29820972481,-7608.944534857989
28.064,7046.919699976687,-4983.25715535907,264.37239917822757,703.8921670607574,18024.65366228398,-8070.656965376693
28.072,6760.207116765965,-5368.805127863915,307.2080319448294,723.191741571132,17800.13109900879,-8538.10001470666
28.08,6453.5907744088,-5736.070637431315,364.7067876221478,672.0014495226001,17582.190870737133,-8982.723148527974
