timestep,xmain,pmain,xhigh,phigh,xlow,plow
18.112,-948013.1752789011,-495577.94702880824,156824.69656775953,-268584.2898219156,1.3557183081752989e6,-497931.4343638869
18.12,-973952.733184043,-442429.8982171344,136136.41838157966,-279658.5577585705,1.3427902253762179e6,-531832.8724132663
18.128,-996913.1848341948,-387930.2242924194,114681.41144364116,-289102.8955368076,1.3289729397360971e6,-565409.4025606018
18.136,-1.016829027793067e6,-332243.52343677205,92560.15318255365,-296898.73035196884,1.3143340947182656e6,-598626.3057050591
18.144,-1.0336351465943684e6,-275541.53016349796,69939.27392923557,-303044.9939747081,1.298876746933453e6,-631451.9804982789
18.152,-1.0472828757086921e6,-217997.87903364055,46907.670764809984,-307495.9590222325,1.28257639919979e6,-663879.6310447565
18.16,-1.0577300579681292e6,-159788.26479852202,23598.34929552268,-310159.3323656304,1.265470387403963e6,-695888.0855678124
18.168,-1.064943963025877e6,-101090.15904866678,157.81375678958855,-311087.07082040084,1.2475774105507003e6,-727457.4958191497
18.176,-1.0689032064791394e6,-42083.422924852566,-23271.849203552407,-310218.32407370524,1.2288932927551295e6,-758565.2002373307
18.184,-1.0695959572643505e6,17053.025944076628,-46564.075059233204,-307570.3290820004,1.2094122064768856e6,-789198.671032317
18.192,-1.067019326783782e6,76136.55702514942,-69588.95032310137,-303184.6258797784,1.1891895321933962e6,-819336.1483688978
18.2,-1.061180491662147e6,134988.05797856775,-92232.70729354848,-297123.9095444181,1.1682149497692504e6,-848947.5728570727
18.208,-1.052099109154111e6,193425.82920328254,-114343.55113602088,-289346.5275742172,1.1465011899650963e6,-878024.7996323339
18.216,-1.0398019038739022e6,251272.87669683743,-135802.06446219355,-279939.20865952893,1.1240664964680052e6,-906565.4048215967
18.224,-1.0243264992549815e6,308352.8891761087,-156507.48178469905,-268896.5818345047,1.100926103395613e6,-934510.0832301975
18.232,-1.0057206071653392e6,364489.7784362173,-176314.93004340454,-256328.44426427552,1.0770840002046325e6,-961874.053350608
18.24,-984040.7866837,419512.247568377,-195109.5961751894,-242301.33259036814,1.0525688746054065e6,-988619.2771677146
18.248,-959353.7605324342,473253.2937848281,-212808.5760171232,-226881.23986740003,1.0273968658090228e6,-1.014759628364375e6
18.256,-931734.3019539356,525547.8913034934,-229286.00876999772,-210169.21800612097,1.0015538807262314e6,-1.0402553711411466e6
18.264,-901265.4323561776,576236.1719044138,-244459.96903296362,-192292.1591319982,975080.9289722448,-1.0650791670998218e6
18.272,-868043.2703512966,625162.8832234044,-258251.16288827962,-173349.3773912218,947987.153427242,-1.0892329970960233e6
18.28,-832167.4292092415,672179.1828047765,-270567.26457178115,-153418.74448781868,920289.6637529924,-1.1127093669234174e6
18.288,-793748.9140040249,717141.0544078584,-281356.712715138,-132608.59929237244,892003.8283042235,-1.1354667594833728e6
18.296,-752902.9274582814,759910.315728639,-290537.7131792748,-111082.8248164984,863173.1032596921,-1.157509923620007e6
18.304,-709756.8753470336,800357.3716246191,-298059.3273251825,-88867.56359185862,833839.0586845361,-1.1788267174654787e6
18.312,-664441.042379725,838358.2498477778,-303892.2050154088,-66156.63239612116,803930.5974640705,-1.199401027174771e6
18.32,-617094.2486656957,873796.4299713073,-308005.03334589244,-43103.35428730768,773531.3793911234,-1.219209535227044e6
18.328,-567862.019570544,906564.3719321445,-310360.7418341352,-19808.608609190764,742623.6008610568,-1.2382413085761128e6
18.336,-516894.2199109538,936562.1539893011,-310959.30739696824,3626.7122468464695,711244.4361287176,-1.2565013266300072e6
18.344,-464345.8738166124,963696.1743744288,-309780.5645363928,27054.612108261208,679435.5038056346,-1.27395819714637e6
18.352,-410378.83074882004,987885.3316322981,-306855.2509462886,50338.28119064542,647197.9477658425,-1.2906076306307255e6
18.36,-355156.82891527895,1.0090548985327458e6,-302190.8976621475,73299.95301554231,614555.3571789446,-1.3064516102442457e6
18.368,-298850.24804275105,1.0271403016916767e6,-295791.11768199835,95827.15147703749,581506.4110857917,-1.321472138610922e6
18.376,-241628.56597302537,1.0420866731105626e6,-287734.3515860359,117818.14671177056,548096.1710830206,-1.3356488571674048e6
18.384,-183671.08490069356,1.0538476139060138e6,-278020.6378966336,139146.46026880675,514344.4546763162,-1.3489850845953282e6
18.392,-125151.50530407196,1.062387662165334e6,-266745.01431247825,159725.96927620913,480277.69816037617,-1.3614718535302074e6
18.4,-66248.87687513874,1.0676803876498411e6,-253962.41906805884,179376.22931389752,445870.405636344,-1.3730953244882044e6
18.408,-7143.858138800556,1.069709617328875e6,-239716.42677747837,198004.41213880797,411214.49163169885,-1.3838465897872054e6
18.416,51983.67089395567,1.06846950277001e6,-224116.7269502944,215477.9032615472,376321.56573972927,-1.393725060426253e6
18.424,110950.3403253974,1.0639632378598088e6,-207243.0021795556,231744.97622602718,341167.6918689142,-1.402725024650143e6
18.432,169578.82121099555,1.0562060594335927e6,-189187.88584409424,246707.16960517678,305800.3980313857,-1.410853546087241e6
18.44,227689.49703490452,1.0452202531180552e6,-170066.02867134873,260270.54832918796,270257.5494865291,-1.418078998247267e6
18.448,285103.91049358126,1.0310401018078419e6,-149967.50522635694,272355.205290936,234530.8339434825,-1.4243964200278746e6
18.456,341648.22651220567,1.0137084213634453e6,-129026.33231566324,282859.79412767646,198670.08761045654,-1.4298213779097516e6
18.464,397148.27957383095,993278.7699474985,-107349.71444713857,291791.3273359052,162655.09819001894,-1.4343442126828746e6
18.472,451433.70761638373,969812.752537274,-85075.24672721217,298992.09868427366,126545.94532039943,-1.437952229853835e6
18.48,504340.03948911815,943382.8429333804,-62314.0514203827,304521.3226044739,90374.31534018888,-1.440661828314751e6
18.488,555704.7012820792,914069.2446106345,-39183.75614411793,308345.49760904646,54149.53798576773,-1.442469684697638e6
18.496,605369.4701925887,881962.1722865165,-15848.75053050324,310397.6833633707,17899.065584257827,-1.4433514696983849e6
18.504,653185.4562653707,847159.4465209155,7580.510549889327,310688.38645801385,-18365.89576785428,-1.443330719271694e6
18.512,699005.0782797294,809766.9676361461,30957.88548025815,309212.1952614955,-54627.16790691944,-1.4424049801089175e6
18.52,742687.0981522228,769899.5199674354,54163.65186437774,305924.6176805951,-90872.47126301803,-1.4405561378832648e6
18.528,784100.6246100705,727679.5993627424,77054.72300839452,300948.4922330876,-127045.47935456848,-1.4377997952649838e6
18.536,823116.9842736346,683235.2815196485,99501.14319438506,294266.56198994943,-163147.71723188364,-1.434138365248863e6
18.544,859617.6567301203,636702.201387955,121384.30183348455,285928.2103271056,-199150.6193512948,-1.4295832098645533e6
18.552,893490.175943093,588223.2586292635,142572.68569752594,275943.3377809782,-235007.69591918957,-1.4241075265899028e6
18.56,924631.8807358939,537946.5705681714,162939.54018890983,264376.7016403706,-270727.70446013246,-1.4177386137148996e6
18.568,952948.1442111562,486026.24910431396,182381.6470220633,251320.71627301845,-306255.60139071185,-1.4104731141838636e6
18.576,978351.481886,432619.82662269357,200776.25139434892,236904.19942364725,-341609.67775096523,-1.4023084290791072e6
18.584,1.0007643624105728e6,377891.6824514184,218036.77670477348,221065.84980089628,-376740.9839500997,-1.3932653227764359e6
