freq, psd, lorentzian
1.766666666667282116e+06,4.177121546457340102e-08,3.510050538362702744e-08
1.777777777778397081e+06,4.384694587102693010e-08,3.396658188731658134e-08
1.788888888889512047e+06,3.041702390740797777e-08,3.288964478072635884e-08
1.800000000000627013e+06,4.610858448884209559e-08,3.186594056471711375e-08
1.811111111111741979e+06,3.290383086126522507e-08,3.089201960456885857e-08
1.822222222222857177e+06,5.532819656288229229e-08,2.996470709659619306e-08
1.833333333333972143e+06,3.733537917297752966e-08,2.908107721878310344e-08
1.844444444445087109e+06,2.267908113768718433e-08,2.823843007272357133e-08
1.855555555556202075e+06,2.245856031653514516e-08,2.743427107779327245e-08
1.866666666667317040e+06,2.654432806013093641e-08,2.666629252409977244e-08
1.877777777778432006e+06,2.797082488684371376e-08,2.593235702966515665e-08
1.888888888889546972e+06,3.148024096014820036e-08,2.523048268055531474e-08
1.900000000000661938e+06,3.309908620203624914e-08,2.455882966117311355e-08
1.911111111111776903e+06,2.991030455102946742e-08,2.391568820641514341e-08
1.922222222222891869e+06,2.778011829023213940e-08,2.329946772846955251e-08
1.933333333334006835e+06,3.165693500544616308e-08,2.270868698921841660e-08
1.944444444445121801e+06,2.336098606488508822e-08,2.214196520493265948e-08
1.955555555556236766e+06,2.890129597039850161e-08,2.159801398357233240e-08
1.966666666667351732e+06,3.186916325898471235e-08,2.107563000683428610e-08
1.977777777778466931e+06,2.989704159315112948e-08,2.057368837937946207e-08
1.988888888889581896e+06,2.623494638296689117e-08,2.009113657664095377e-08
2.000000000000696862e+06,2.540149183064868767e-08,1.962698893044551313e-08
2.011111111111811828e+06,2.921700017991429075e-08,1.918032159853222786e-08
2.022222222222926794e+06,2.508083583788954264e-08,1.875026797005556407e-08
2.033333333334041759e+06,7.664528990079961947e-09,1.833601446443017077e-08
2.044444444445156725e+06,1.585589960670760189e-08,1.793679668550891745e-08
2.055555555556271691e+06,2.316473081815688198e-08,1.755189589716683908e-08
2.066666666667386657e+06,1.903048052485624634e-08,1.718063578996404907e-08
2.077777777778501622e+06,1.714852704310427750e-08,1.682237951174148160e-08
2.088888888889616588e+06,1.649408737093320421e-08,1.647652693781768081e-08
2.100000000000731554e+06,1.727431350904061297e-08,1.614251215894927385e-08
2.111111111111846752e+06,6.857773175741424489e-09,1.581980116743059870e-08
2.122222222222961485e+06,1.212539355701690524e-08,1.550788972367528742e-08
2.133333333334076684e+06,1.727794320701575158e-08,1.520630138737244351e-08
2.144444444445191417e+06,2.497314188453167813e-08,1.491458569887028652e-08
2.155555555556306615e+06,2.460512376641737774e-08,1.463231649783110587e-08
2.166666666667421348e+06,9.397680175473495773e-09,1.435909036744536609e-08
2.177777777778536547e+06,5.104810677558238523e-09,1.409452519360429477e-08
2.188888888889651280e+06,1.290418993412853265e-08,1.383825882942691490e-08
2.200000000000766478e+06,1.134544154011720270e-08,1.358994785643013681e-08
2.211111111111881211e+06,8.441401155859949893e-09,1.334926643443289169e-08
2.222222222222996410e+06,9.829564986332355422e-09,1.311590523300540411e-08
2.233333333334111609e+06,1.837079819988671403e-08,1.288957043792374490e-08
2.244444444445226341e+06,1.705217936362699279e-08,1.266998282667345110e-08
2.255555555556341540e+06,1.352722874057323989e-08,1.245687690757293027e-08
2.266666666667456273e+06,1.363256950470368361e-08,1.225000011756305664e-08
2.277777777778571472e+06,1.082277253819831624e-08,1.204911207413858384e-08
2.288888888889686204e+06,9.138227253372197955e-09,1.185398387728618415e-08
2.300000000000801403e+06,1.374226533853613957e-08,1.166439745764536527e-08
2.311111111111916136e+06,8.819538902841434047e-09,1.148014496742801055e-08
2.322222222223031335e+06,1.093885370530097130e-08,1.130102821092102952e-08
2.333333333334146068e+06,7.950814982767750077e-09,1.112685811166008059e-08
2.344444444445261266e+06,1.027352542868183010e-08,1.095745421360046655e-08
2.355555555556375999e+06,1.094031132348807043e-08,1.079264421382918946e-08
2.366666666667491198e+06,7.336420169290253305e-09,1.063226352455945574e-08
2.377777777778606396e+06,7.297907317643231878e-09,1.047615486232965100e-08
2.388888888889721129e+06,5.963125869927796511e-09,1.032416786249289728e-08
2.400000000000836328e+06,7.900311890943061927e-09,1.017615871723360552e-08
2.411111111111951061e+06,8.732067638017290517e-09,1.003198983548460418e-08
2.422222222223066259e+06,1.141303143207453485e-08,9.891529523243607201e-09
2.433333333334180992e+06,1.419287475489569067e-08,9.754651682902841937e-09
2.444444444445296191e+06,1.645557192583741601e-08,9.621235530310390324e-09
2.455555555556410924e+06,8.546316965333020369e-09,9.491165328378492417e-09
2.466666666667526122e+06,7.105791201769935412e-09,9.364330136142000535e-09
2.477777777778640855e+06,9.498824037253100987e-09,9.240623572251619816e-09
2.488888888889756054e+06,9.760977841630259900e-09,9.119943591960696305e-09
2.500000000000870787e+06,8.387815404478714289e-09,9.002192276733120207e-09
2.511111111111985985e+06,7.838698592787527481e-09,8.887275635662504707e-09
2.522222222223100718e+06,1.518919673395023797e-08,8.775103417951153402e-09
2.533333333334215917e+06,1.170575645190086768e-08,8.665588935750328469e-09
2.544444444445331115e+06,6.673504324639112985e-09,8.558648896712874896e-09
2.555555555556445848e+06,1.076511198548298695e-08,8.454203245654413504e-09
2.566666666667561047e+06,8.436547028249638254e-09,8.352175014761246954e-09
2.577777777778675780e+06,1.201683588835433754e-08,8.252490181821985531e-09
2.588888888889790978e+06,1.185444386075450751e-08,8.155077535995286262e-09
2.600000000000905711e+06,9.945528439261411840e-09,8.059868550659574956e-09
2.611111111112020910e+06,7.361482594675165117e-09,7.966797262920802896e-09
2.622222222223135643e+06,9.540870128517851489e-09,7.875800159382961650e-09
2.633333333334250841e+06,5.265684053720491311e-09,7.786816067811958665e-09
2.644444444445365574e+06,6.229744627870599065e-09,7.699786054348102935e-09
2.655555555556480773e+06,9.026245252061776282e-09,7.614653325944678092e-09
2.666666666667595506e+06,5.108846898997528687e-09,7.531363137731275876e-09
2.677777777778710704e+06,6.783161197572340236e-09,7.449862705019730440e-09
2.688888888889825903e+06,6.855973051720900455e-09,7.370101119688775405e-09
2.700000000000940636e+06,6.829159511488631980e-09,7.292029270700089223e-09
2.711111111112055834e+06,6.993316295859525998e-09,7.215599768514153034e-09
2.722222222223170567e+06,4.624433629090087433e-09,7.140766873188799312e-09
2.733333333334285766e+06,4.710359932403342411e-09,7.067486425956750660e-09
