timestep,xmain,pmain,xhigh,phigh,xlow,plow
80.8,-3.613666953378089e6,-2.255697565936662e6,-23179.85306620875,34192.130236335186,-909833.1529460226,-686157.6500626929
80.808,-3.732823377615704e6,-2.053280135082361e6,-20558.573841995334,35128.43239291515,-926809.7982443837,-663801.0808817483
80.816,-3.840608588296819e6,-1.844496776482864e6,-17886.29786349127,35870.35919594032,-943185.8586407356,-640932.90125293
80.824,-3.9366884575228747e6,-1.6299839438308172e6,-15153.291071346004,36539.55316756545,-958985.6552768962,-617566.9808157162
80.832,-4.0207640794196245e6,-1.4103952228528217e6,-12377.331158843945,37109.58954187618,-974203.3822499397,-593720.512925867
80.84,-4.092573346392436e6,-1.186400617431162e6,-9569.900656776743,37605.363557327255,-988807.9663238544,-569409.9172514043
80.848,-4.1518913303156644e6,-958683.3214239477,-6720.914306901479,37973.139588092105,-1.00280349579153e6,-544636.1884301443
80.856,-4.198531438761412e6,-727938.6001956826,-3839.470199917466,38182.671580965114,-1.016175909567618e6,-519422.34571229544
80.864,-4.232345855038974e6,-494870.9046446782,-954.1725380413621,38338.71316799705,-1.0289179855071364e6,-493784.48304787796
80.872,-4.2532257190138e6,-260192.54371776298,1944.6309548777226,38310.441420075746,-1.0409812204012976e6,-467745.938445011
80.88,-4.261101661653685e6,-24620.636673705056,4838.245110956743,38164.93606258444,-1.0523947691299752e6,-441318.9010503413
80.888,-4.255944180718344e6,211124.47134839004,7712.218927184497,37925.19924037783,-1.063109259307994e6,-414513.45962970424
80.896,-4.237763696071144e6,446321.29132588726,10555.047290799273,37482.44068541357,-1.0731879240773176e6,-387336.078988271
80.904,-4.206610614055095e6,680250.4464962371,13347.294943425688,36986.86957373325,-1.0825491409312703e6,-359833.15588548896
80.912,-4.162574776869949e6,912195.574489169,16112.08551900407,36345.26920341571,-1.0912626622598195e6,-331999.15500387974
80.92,-4.1057853545443327e6,1.1414462573113535e6,18821.774872059344,35591.35613239685,-1.0992576091167426e6,-303854.773451591
80.928,-4.036411057460272e6,1.3673000408028546e6,21475.85400457872,34732.98806315707,-1.1065474905038504e6,-275431.671983532
80.936,-3.9546585562425074e6,1.5890644956103673e6,24068.60020572574,33772.7212136473,-1.1130958549145078e6,-246743.3790224686
80.944,-3.8607731982841464e6,1.806059484552542e6,26581.063801571767,32720.21874695327,-1.1189301481512068e6,-217819.6609220032
80.952,-3.7550367613437297e6,2.0176192293207415e6,28995.061971548606,31554.25622129268,-1.1240325470816896e6,-188678.3799474801
80.96,-3.637768011313527e6,2.223094018469196e6,31329.556139428005,30307.277418385383,-1.1283994615782774e6,-159325.40766196407
80.968,-3.509320923245697e6,2.4218527341332594e6,33547.099778615695,28962.392258983116,-1.1320453699121287e6,-129797.66508477811
80.976,-3.370083865613722e6,2.613284557520469e6,35682.94858277187,27514.032359040848,-1.134906402613302e6,-100104.42155135264
80.984,-3.2204784100096514e6,2.7968006449748105e6,37699.68364474897,25999.832609404595,-1.1370449652540316e6,-70290.83416912975
80.992,-3.0609580677777217e6,2.9718363536677184e6,39597.736269167624,24447.613756990548,-1.1384233880222668e6,-40355.041718515204
81.0,-2.892006525930191e6,3.1378527442575456e6,41372.65697497036,22741.944384922874,-1.1390266443283425e6,-10337.618913270184
81.008,-2.7141363828701116e6,3.294338270484197e6,43027.35377606741,21031.210223406324,-1.1389080955578403e6,19747.436424804928
81.016,-2.527888784289192e6,3.440810050833152e6,44542.21979724712,19253.094944297747,-1.1380112862081863e6,49879.492315036056
81.024,-2.333829960666864e6,3.5768156166649987e6,45918.818688565894,17415.79987156945,-1.1363546380744893e6,80014.91158682735
81.032,-2.1325500775155346e6,3.701934805719368e6,47158.08336913872,15510.34543873925,-1.13395584973449e6,110153.13959375542
81.04,-1.9246622782440572e6,3.815780069415158e6,48243.93663825979,13556.41088281941,-1.1307830502241536e6,140264.7603128298
81.048,-1.7107996233171385e6,3.9179987018440696e6,49187.34279166885,11527.72784471378,-1.1268742589813857e6,170324.581257865
81.056,-1.491613945664541e6,4.0082730787127255e6,49986.82137769392,9553.58550036638,-1.1222083621188614e6,200301.1269306077
81.064,-1.2677735670012273e6,4.086321851568615e6,50633.902314575054,7487.8075342187885,-1.1168024575483347e6,230174.39118160287
81.072,-1.039961361394378e6,4.1519012162424177e6,51112.62071627652,5398.448073446253,-1.1106210486928667e6,259931.7337762625
81.08,-808872.7549201588,4.204805416946707e6,51445.828053723075,3333.70513526321,-1.103688337322197e6,289530.91290661105
81.088,-575213.3086270433,4.2448672750122445e6,51616.127790055325,1264.025382119384,-1.0960282367567783e6,318952.85781568807
81.096,-339696.9747682648,4.271958884017125e6,51629.39110459434,-814.4317044451736,-1.0876212035489841e6,348193.7037092861
81.104,-103043.4830484958,4.285992092104349e6,51486.70390450512,-2938.9647383527536,-1.0784877172656714e6,377196.57303440536
81.112,134023.58348259106,4.28691837899831e6,51191.58582424974,-5049.443455721666,-1.0686346464122601e6,405964.9912493144
81.12,370779.35070681287,4.274729540101703e6,50733.749120915905,-7146.369761573731,-1.0580657867970741e6,434452.0030018927
81.128,606499.2365665523,4.249457231308951e6,50113.56340135255,-9234.406356633888,-1.0468104711954412e6,462646.3134649541
81.136,840461.423862383,4.2111734260941455e6,49337.68518511554,-11234.064758693798,-1.0348062737591407e6,490536.032957055
81.144,1.0719498183562807e6,4.1599901214692644e6,48405.154181196274,-13295.819858482804,-1.0221160698933271e6,518081.95929407957
81.152,1.3002550969156222e6,4.096058094050734e6,47327.65002135353,-15220.91316355741,-1.0087516822577256e6,545272.0726451508
81.16,1.5246773119427224e6,4.0195677792707826e6,46124.91942664935,-17093.709753553492,-994682.349130635,572065.1790737956
81.168,1.7445279371722646e6,3.9307478467900166e6,44769.735691548725,-18960.684888592164,-979961.4790590085,598454.1446245376
81.176,1.9591327030909662e6,3.829865172282679e6,43267.44471599727,-20706.264706803744,-964592.3297534634,624420.5950445565
81.184,2.1678328215084886e6,3.7172230772398557e6,41628.932915178884,-22452.556393139133,-948578.0470087032,649941.6669225168
81.192,2.3699874523338424e6,3.5931615189605425e6,39865.74963693927,-24113.105162599117,-931906.222815258,674987.2013502612
81.2,2.5649753705113386e6,3.4580552381911324e6,37979.24769786053,-25684.003123018912,-914611.8485072438,699539.0792201682
81.208,2.752196856036722e6,3.312313068613002e6,35977.2502294623,-27180.48108023739,-896709.7272139085,723587.168245874
81.216,2.9310760650730655e6,3.1563763515175246e6,33868.414906134705,-28609.123361301026,-878235.044793619,747103.3212036432
81.224,3.1010626114635332e6,2.9907178240012736e6,31659.644329199367,-29899.590079555976,-859142.5216992495,770062.9997318985
81.232,3.261631818070028e6,2.8158402113005314e6,29357.00148356659,-31121.777391799824,-839503.8163908726,792486.6956649479
81.24,3.412288943550805e6,2.632275002524588e6,26959.11881188933,-32196.337691433026,-819323.3999411442,814325.7007657838
81.248,3.5525690627024076e6,2.440580003212455e6,24490.203960112107,-33182.60173523281,-798551.2679639922,835542.8490348174
81.256,3.6820384580876897e6,2.2413382668476887e6,21958.325888257128,-34129.28628168482,-777284.1240934089,856144.7862907932
81.264,3.8002968686140627e6,2.0351564536605647e6,19350.185506688464,-34966.24917366091,-755478.632778983,876132.1324739321
81.272,3.9069774992007315e6,1.8226625057241556e6,16672.52740747938,-35654.42440999914,-733208.1329724307,895470.1080311001
81.28,4.0017489948916356e6,1.604503552155741e6,13961.940500278584,-36280.759522661014,-710448.9054359426,914145.7423568415
81.288,4.08431685942622e6,1.3813449838691717e6,11205.867445217023,-36734.92742740477,-687219.178664463,932144.0915479151
81.296,4.154423403189951e6,1.1538673202889413e6,8418.548583768024,-37116.453103890184,-663555.6213783522,949450.9741668528
81.304,4.211848745745194e6,922764.8373759157,5607.747153931462,-37384.82713102397,-639498.7886228354,966064.739225343
81.312,4.256412067000846e6,688742.8608205665,2781.181058761884,-37548.80189448169,-615020.6786977119,981974.9934495221
81.32,4.287971269466161e6,452516.2329785995,-65.47588354914339,-37603.05324207619,-590129.9944522701,997167.050773306
81.328,4.3064248348977715e6,214806.74480458573,-2911.808648233854,-37536.02126689384,-564859.0238816211,1.0116175036479005e6
81.336,4.311710613037319e6,-23658.867116183676,-5737.171485144211,-37427.41903321001,-539251.9845979341,1.0253444690286204e6
81.344,4.3038069965928905e6,-262151.1757168599,-8540.50312313721,-37051.983921204184,-513328.0592931036,1.038309849240149e6
81.352,4.282733101850628e6,-499941.09366639925,-11310.403775986757,-36633.029993389224,-487058.54788595386,1.050521375097385e6
81.36,4.248547308020273e6,-736300.4454590591,-14054.690562076416,-36159.54451972034,-460509.67960827926,1.0619596917040965e6
