timestamp,value1,value2
454.84,-0.5621170375583221,2.0575130239815946
454.848,-0.4911853054388946,2.086771421700279
454.856,-0.31022565387901657,2.1060110259314917
454.864,-0.19184390693804965,2.1180141024890515
454.872,-0.03854810468111392,2.122164068897175
454.88,0.049674890115232205,2.12137163363378
454.888,0.0702011015902386,2.1161927496940165
454.896,0.3064690038010023,2.106437310519473
454.904,0.3229552258401889,2.0879179794692506
454.912,0.41610800489255056,2.0646592500672987
454.92,0.5667749451624702,2.0342288099516717
454.928,0.5887836880889098,1.9995877497806984
454.936,0.6873343341200729,1.964096297933962
454.944,0.88817291599588,1.9186535516548786
454.952,1.099611131628272,1.8629872082633057
454.96,1.1927548943183581,1.7996415467167364
454.968,1.2224678324212288,1.7302534015653672
454.976,1.328497562897222,1.6581395459827974
454.984,1.4399158799365184,1.582320308692106
454.992,1.5754299575892177,1.4977998108904462
455.0,1.546817704704343,1.4107995417005537
455.008,1.663482390765897,1.3228856845399883
455.016,1.6128470516527122,1.2313349064091075
455.024,1.7094148951307366,1.140374273582596
455.032,1.7655458574109435,1.0427904927887701
455.04,1.7643844614333808,0.9433883705746223
455.048,1.7792133429229948,0.844233523495972
455.056,1.8110499117548406,0.7430816224110751
455.064,1.8046386238084298,0.6442104483444466
455.072,1.7802991934323076,0.5451409519790935
455.08,1.7701591795679021,0.44567527345650854
455.088,1.6558552424081279,0.3519109750786917
455.096,1.779503107553558,0.2580187226566507
455.104,1.78461262287164,0.1611174985608348
455.112,1.7702538601029028,0.06360394397063045
455.12,1.744070773066585,-0.031508305407829465
455.128,1.831755264233022,-0.13013760060425952
455.136,1.7775261516256617,-0.22877110525213717
455.144,1.6559387129246068,-0.31967444291690356
455.152,1.726999645233457,-0.4092883542067145
455.16,1.6731600920489913,-0.5011310378399152
455.168,1.5694988500288702,-0.5917582812985709
455.176,1.6362174425718725,-0.680085434402489
455.184,1.517841476731389,-0.7670180093846531
455.192,1.5174218716863737,-0.850203878986369
455.2,1.460555399971285,-0.9283374297685946
455.208,1.3918203225182288,-1.0070398826513642
455.216,1.2740933627258322,-1.0806269253475895
455.224,1.2436439902485423,-1.147604063036459
455.232,1.1412731385291874,-1.210733261472322
455.24,0.9606482833951665,-1.2690247823727352
455.248,0.7381071023984549,-1.3124560522565398
455.256,0.6895047753411094,-1.3505753386651365
455.264,0.6184271675625962,-1.3835208401543955
455.272,0.5879925034347808,-1.4140117981544655
455.28,0.458724372073426,-1.4382517892753155
455.288,0.26993355716357204,-1.4563131169351742
455.296,0.21535697027933068,-1.466564578310808
455.304,0.11529775071043076,-1.474465774886426
455.312,0.07931071619905834,-1.477623431984792
455.32,0.04251829282524901,-1.4794416890349997
455.328,-0.1971102156892148,-1.4733967999029614
455.336,-0.1608751174092092,-1.462915853975676
455.344,-0.21888565305457278,-1.4503614072221989
455.352,-0.27748704758846715,-1.4321935866687145
455.36,-0.36357510302049545,-1.411743479026824
455.368,-0.32946134121720716,-1.3877983457140635
455.376,-0.482886468168745,-1.3646946318691227
455.384,-0.4992392391372621,-1.3312106778377686
455.392,-0.3869364003652273,-1.305368720344939
455.4,-0.49952112967330414,-1.279220891147638
455.408,-0.5693458514853924,-1.2492828740426078
455.416,-0.7236302356237229,-1.211737311719371
455.424,-0.7186466633145473,-1.1710409299729334
455.432,-0.8633873652392378,-1.123355393855468
455.44,-0.9691567278098426,-1.0703681137603431
455.448,-1.114572889318335,-1.0113183291383252
455.456,-1.2389763280286292,-0.9422757062664334
455.464,-1.4868644836116602,-0.864668690825052
455.472,-1.548902652634672,-0.781108524266465
455.48,-1.7209257051396347,-0.6911755899664321
455.488,-1.7857991380721776,-0.5952757101293711
455.496,-1.8071819348414044,-0.4948288998375291
455.504,-1.9299164262596837,-0.39162445725640743
455.512,-1.9789499276468603,-0.28358507603316074
455.52,-2.03096877587387,-0.17046324495254989
455.528,-2.034900222921689,-0.05650121591207316
455.536,-2.1468283032238653,0.05975616255857851
455.544,-2.11875711218595,0.17686885936643595
455.552,-2.0167410457347055,0.2917340072264466
455.56,-1.9908600834978132,0.40090992088871497
455.568,-1.965157987348765,0.5088000012952102
455.576,-1.8592968542042512,0.6134447817454772
455.584,-1.7578198122778121,0.7121038439078291
455.592,-1.675284314922469,0.805363005552953
455.6,-1.5196497525397474,0.8915061806623924
455.608,-1.5315896661466752,0.9748555776424866
455.616,-1.4809270522965805,1.056449726005503
455.624,-1.3448330309409098,1.1284609129527703
455.632,-1.514912211092045,1.2053896179327432
455.64,-1.4774467417991872,1.2865744128912207
455.648,-1.4065349838384364,1.3629381668948655
455.656,-1.2944041435979237,1.4338177296399457
455.664,-1.2406418618217478,1.5021478504390164
455.672,-1.264936857033417,1.5669167405697737
455.68,-1.2865126438728083,1.6357767412887125
455.688,-1.2349399608915321,1.7032377148916789
455.696,-1.0271212151185891,1.7646115000656215
455.704,-0.9150855698756747,1.8169010089054152
455.712,-0.7158695101188546,1.8601626184298667
455.72,-0.6184006760293115,1.8943515012844392
455.728,-0.37242524128335214,1.9189408425670549
455.736,-0.3551900035319536,1.9355038674481755
455.744,-0.2190577587449346,1.9485747062439192
455.752,-0.0905139386317055,1.9534758022837104
455.76,0.05700189640465134,1.949083261431959
455.768,0.19993864752136367,1.9408349372317595
455.776,0.19676930992900174,1.9268408983645768
455.784,0.4392415923069965,1.9066271329746614
455.792,0.5896224028146061,1.8769619522689023
455.8,0.8637879205123165,1.8362298515411735
455.808,0.9025588063583853,1.7834108383822547
455.816,1.0862538456325659,1.7246758556288202
455.824,1.0853393763870534,1.6606964406190374
455.832,1.3277938130074687,1.592034105080533
455.84,1.3174574719900893,1.5147504093603952
455.848,1.2890299573191624,1.4411091248384544
455.856,1.3466089927937421,1.3673266472385133
455.864,1.354994628960339,1.2881248733501036
455.872,1.3060856507613807,1.211034863724316
455.88,1.279279686928271,1.1368141532058709
455.888,1.3051623790824807,1.0639846831598478
455.896,1.4671119654830547,0.9861258197343313
455.904,1.3329946142552893,0.907680165311667
455.912,1.5100100329406239,0.8282561291845447
455.92,1.6610793602816976,0.7419347258242006
455.928,1.6528579520024895,0.649819475119236
455.936,1.6876229070595388,0.5564951267734879
455.944,1.8568411740294182,0.46024672833939884
455.952,1.7956338007677581,0.35913517457398947
455.96,1.7954893008301214,0.25986448767020653
455.968,1.8222602571289888,0.15981341924015552
455.976,1.7636135866564662,0.061168116729990875
455.984,1.7090327255523223,-0.03359128020527017
455.992,1.6439566449790743,-0.12567450552375106
456.0,1.7614576402728446,-0.2218684601505725
456.008,1.7590245634032848,-0.317496031137083
456.016,1.6681524743810134,-0.4116236088120054
456.024,1.6142832525749233,-0.5012619514537814
456.032,1.5441131816385134,-0.5888928280174648
456.04,1.4944587893315262,-0.6708529680702342
456.048,1.4824902529136217,-0.7508113281675234
456.056,1.4726833916542457,-0.831284187712212
456.064,1.3880055032332257,-0.9087466415602274
456.072,1.4398778658257878,-0.9826319902535594
456.08,1.4355099556394668,-1.0568125554574674
456.088,1.437293423944299,-1.1339393756363982
456.096,1.3092888116143475,-1.2056365455060176
456.104,1.2950443407526384,-1.2729310355188321
456.112,1.2938527273240508,-1.3419411495604243
456.12,1.2522550455078743,-1.4094495556508317
456.128,1.2185791919033615,-1.475890224416666
456.136,1.126821684092347,-1.542065900443507
456.144,0.9282722430037738,-1.594156047449651
456.152,0.8636871571450065,-1.6437861528186126
456.16,0.9135629580618457,-1.6906424887779077
456.168,0.8372609708481535,-1.7346060269432186
456.176,0.8051707372666828,-1.7739796142642013
456.184,0.7233449491711796,-1.812628311128552
456.192,0.6126254849538885,-1.8453676375505836
456.2,0.5748119082646611,-1.8735833114859648
456.208,0.44348869284708015,-1.8975173063224402
456.216,0.3913800419155944,-1.914035676461964
456.224,0.3666030775695809,-1.9328113940317169
456.232,0.348751806911025,-1.9487137254256515
456.24,0.1892291978921265,-1.959214012775563
456.248,0.1061395245137284,-1.9637040312001255
456.256,0.022206003010252356,-1.9622980702070665
456.264,-0.096840480104398,-1.9576151773249706
456.272,-0.18491865004301847,-1.9458872054320326
456.28,-0.3640764036906955,-1.9257643350689362
456.288,-0.5515946413105043,-1.8949141592454977
456.296,-0.6234150092763838,-1.8628592349775128
456.304,-0.693861368620784,-1.822418838942707
456.312,-0.82202872312392,-1.779092815372468
456.32,-0.9124208923790927,-1.72855643979529
456.328,-1.0298924626119161,-1.6738310078665855
456.336,-1.127419241621579,-1.6101549339819037
456.344,-1.2573453141424293,-1.543737428498073
456.352,-1.2523922277346273,-1.472857815204272
456.36,-1.3066680895431169,-1.398458922935253
456.368,-1.4209345009260064,-1.3224468478222107
456.376,-1.526213134059433,-1.2413108373676935
456.384,-1.599934013617679,-1.1501055072707853
456.392,-1.513899904391266,-1.0611020472893185
456.4,-1.5400701904731622,-0.9761581360066345
456.408,-1.610746574948933,-0.8907925055578351
456.416,-1.6461232072249896,-0.7983234637607983
456.424,-1.7066411171625584,-0.7058467930764265
456.432,-1.9109565260082846,-0.6037291285143782
456.44,-1.9111225868495065,-0.4987922719549526
456.448,-1.8708085627640165,-0.3939936403014242
456.456,-1.8095518923670688,-0.2929634662256352
456.464,-1.7868708169333167,-0.1952894572338465
456.472,-1.7966716216974632,-0.10006120882087159
456.48,-1.726420216516266,-0.002687847413672926
456.488,-1.7349860101347117,0.09153185779209996
456.496,-1.66942322094368,0.1813862678911374
456.504,-1.5735008381500792,0.268657106982358
456.512,-1.5863376856188172,0.35103828417154875
456.52,-1.5295780629522486,0.43412970114518257
456.528,-1.5400783495114154,0.5154224909334901
456.536,-1.6562496339474033,0.6021486602269563
456.544,-1.7278410129837196,0.6914650969650988
456.552,-1.6557009782227436,0.7824829581928971
456.56,-1.6805044454887235,0.8711499767272958
456.568,-1.6432637178037028,0.95762999910205
456.576,-1.676526762182869,1.0464126103120246
456.584,-1.5674792306073813,1.1344287457509972
456.592,-1.4700824513565904,1.2145364503015088
456.6,-1.5074708483827566,1.294070583995348
456.608,-1.3599837180723078,1.3677333745550995
456.616,-1.1382318579957984,1.4343233435732021
456.624,-1.2045438074653843,1.4941075489697415
456.632,-1.0274911283922947,1.5519473071878542
456.64,-0.9352528479255852,1.6025308485203338
456.648,-1.038738921064867,1.6562194797838312
456.656,-0.9728885552323653,1.7068379215752705
456.664,-0.8642831794136232,1.7523809907462105
456.672,-0.7801573144142447,1.7925783506584207
456.68,-0.6484386929713793,1.8265782635230483
456.688,-0.40143254993412,1.8510878161069013
456.696,-0.28820370621005875,1.8662672220377736
456.704,-0.035673756983621865,1.8702232740819509
456.712,0.09652651185717184,1.8639460140010837
456.72,0.29209853520103457,1.8480968636507304
456.728,0.3185180791892102,1.8261142002434696
456.736,0.3147103354626201,1.805308879320879
456.744,0.1649096705498118,1.7875891765054788
456.752,0.3338190496604431,1.7679757033188184
456.76,0.5332880492887262,1.737603024900944
456.768,0.6197375452781294,1.702152374973268
456.776,0.565574160810425,1.6650354371965137
456.784,0.7699117204024535,1.6226475040482766
456.792,0.7378253678021569,1.5766312149598725
456.8,0.787470258858382,1.534460756003456
456.808,0.8861855569396897,1.4859644021694216
456.816,0.9000026742175452,1.4332311541715952
456.824,1.0210068612771965,1.3788549008266036
456.832,1.0660381657113271,1.3204377849480697
456.84,0.9627019900950865,1.2626395887656574
456.848,1.0537447567874594,1.2072611351813878
456.856,1.1731866272294222,1.1439870171288
456.864,1.1501061941895374,1.0792505564644403
456.872,1.211163430194545,1.0112760513049277
456.88,1.3402697247971442,0.9401435482445488
456.888,1.3753326352806927,0.8658737066602804
456.896,1.498212534691446,0.7869407403038552
456.904,1.512709418294207,0.7044221413657022
456.912,1.4569857523874292,0.623005867125472
456.92,1.50088356574375,0.5413458910808081
456.928,1.520089546086695,0.45953786437195676
456.936,1.5095162873347492,0.37839292461337865
456.944,1.5406654015474033,0.2941163447057903
456.952,1.5720863953396331,0.2101081425909758
456.96,1.6729336161068262,0.12180288573664591
456.968,1.6327577223321599,0.03143796419235304
